iter	RMSE
0	0.3990708368
1	0.3915736135
2	0.3845573796
3	0.3780941482
4	0.3722910369
5	0.365636562
6	0.358917945
7	0.3522104654
8	0.3462548461
9	0.3401728102
10	0.334144602
11	0.3291831801
12	0.3241680153
13	0.3192894528
14	0.3143606523
15	0.309354431
16	0.3050309279
17	0.3000159072
18	0.2957350293
19	0.2911256099
20	0.2869920798
21	0.2824313206
22	0.2782301573
23	0.2739370686
24	0.2702799708
25	0.2663733013
26	0.2625413105
27	0.2590157067
28	0.2553922142
29	0.2520283037
30	0.2484506502
31	0.2455951617
32	0.2426556483
33	0.2401213345
34	0.2371903273
35	0.2344893666
36	0.2315429171
37	0.2288307189
38	0.2261694909
39	0.2237796105
40	0.2212832907
41	0.2189040288
42	0.2165644668
43	0.2144796477
44	0.2122809647
45	0.2101741003
46	0.2080606516
47	0.2060534849
48	0.2042317631
49	0.2022654709
50	0.2002765416
51	0.1981839327
52	0.1963365311
53	0.1947861708
54	0.1933887435
55	0.192110593
56	0.1905619179
57	0.189186387
58	0.1874351444
59	0.1859911937
60	0.1846445923
61	0.1833518648
62	0.1822341987
63	0.1810557071
64	0.1799777535
65	0.1786765962
66	0.1776433476
67	0.1763896663
68	0.175126865
69	0.1739442087
70	0.1728409777
71	0.1717608148
72	0.1707353567
73	0.1698195761
74	0.1686486539
75	0.1677028985
76	0.1666872077
77	0.1658427853
78	0.1649469718
79	0.1638869942
80	0.1630487707
81	0.1623591739
82	0.161492044
83	0.160660435
84	0.1599957306
85	0.1590895642
86	0.1583763936
87	0.1576881537
88	0.1569815695
89	0.156262451
90	0.1555964453
91	0.1549768151
92	0.1544460472
93	0.1538159953
94	0.1531207379
95	0.1525787047
96	0.1519880879
97	0.1513943407
98	0.150775893
99	0.1502483964
100	0.1497386485
101	0.1492287798
102	0.1487019602
103	0.1483007689
104	0.1478816808
105	0.1475422213
106	0.1470657302
107	0.1466211752
108	0.1462304891
109	0.1458057212
110	0.1455403948
111	0.1450672324
112	0.1447060987
113	0.1442531535
114	0.1439394674
115	0.1436416529
116	0.1433071444
117	0.1428980687
118	0.1424989085
119	0.1420445294
120	0.1417032132
121	0.1413286686
122	0.1409213736
123	0.1405994174
124	0.14022154
125	0.1399160402
126	0.139610022
127	0.1393291291
128	0.1390263676
129	0.1387138587
130	0.1384145784
131	0.1380241956
132	0.1377200566
133	0.1376009685
134	0.1373657434
135	0.1370718585
136	0.1368313287
137	0.1365419307
138	0.136275933
139	0.1359802703
140	0.1357514396
141	0.1355763485
142	0.1353771797
143	0.1351742116
144	0.134825293
145	0.1345553479
146	0.1343457025
147	0.134128992
148	0.133922667
149	0.1336865705
150	0.1333615926
151	0.1331749915
152	0.1329859345
153	0.1326147672
154	0.1324128692
155	0.1321694271
156	0.1318952127
157	0.1316810764
158	0.13156985
159	0.1313173222
160	0.1311572815
161	0.1309868712
162	0.130751304
163	0.1306438991
164	0.1304632378
165	0.1303075535
166	0.1300850635
167	0.1297980952
168	0.1296297157
169	0.1294373511
170	0.129238716
171	0.1291188383
172	0.1289343629
173	0.1288320862
174	0.1286816041
175	0.1285101541
176	0.1283263306
177	0.1281602701
178	0.1280408375
179	0.1278494914
180	0.1277359065
181	0.1276259496
182	0.127373178
183	0.1271738048
184	0.1270348025
185	0.1269192248
186	0.1267327342
187	0.1265567627
188	0.1264497489
189	0.1263170592
