iter	Passed	Remaining
0	1	1003
1	2	1021
2	3	1005
3	3	942
4	4	924
5	5	897
6	6	867
7	6	841
8	7	822
9	8	810
10	8	793
11	9	791
12	10	783
13	11	780
14	11	775
15	12	767
16	13	763
17	13	759
18	14	754
19	15	752
20	16	752
21	17	756
22	17	763
23	18	760
24	19	756
25	20	751
26	20	748
27	21	746
28	22	742
29	22	739
30	23	738
31	24	737
32	25	734
33	25	735
34	26	735
35	27	733
36	28	729
37	28	727
38	29	724
39	30	723
40	30	721
41	31	724
42	32	723
43	33	723
44	34	721
45	34	719
46	35	718
47	36	716
48	36	713
49	37	711
50	38	709
51	38	709
52	39	709
53	40	709
54	41	708
55	41	705
56	42	703
57	43	702
58	43	700
59	44	698
60	45	697
61	46	696
62	47	699
63	47	701
64	48	701
65	49	702
66	50	702
67	51	702
68	52	702
69	52	703
70	53	702
71	54	700
72	55	699
73	55	697
74	56	696
75	57	694
76	57	693
77	58	692
78	59	691
79	60	690
80	60	689
81	61	689
82	62	693
83	63	692
84	64	691
85	64	689
86	65	688
87	66	687
88	67	686
89	67	685
90	68	685
91	69	684
92	70	683
93	70	682
94	71	681
95	72	680
96	72	679
97	73	677
98	74	675
99	74	673
100	75	671
101	76	670
102	77	670
103	77	670
104	78	669
105	79	667
106	79	665
107	80	663
108	80	661
109	81	660
110	82	659
111	83	658
112	83	657
113	84	655
114	85	654
115	85	653
116	86	652
117	87	650
118	87	649
119	88	647
120	88	645
121	89	643
122	90	642
123	90	640
124	91	639
125	92	639
126	92	638
127	93	637
128	94	636
129	94	634
130	95	634
131	96	633
132	97	632
133	97	631
134	98	629
135	98	628
136	99	626
137	100	625
138	100	623
139	101	622
140	102	621
141	102	620
142	103	618
143	103	617
144	104	616
145	105	615
146	105	613
147	106	613
148	107	612
149	108	612
150	108	611
151	109	610
152	110	609
153	110	608
154	111	607
155	112	606
156	112	604
157	113	603
158	113	602
159	114	600
160	115	599
161	115	598
162	116	597
163	116	596
164	117	594
165	118	593
166	118	592
167	119	591
168	119	590
169	120	588
170	121	587
171	122	587
172	123	588
173	123	587
174	124	588
175	125	588
176	126	588
177	127	588
178	128	587
179	128	586
180	129	585
181	129	584
182	130	583
183	131	581
184	131	580
185	132	579
186	133	578
187	133	577
188	134	576
189	134	575
190	135	574
191	136	572
192	136	572
193	137	572
194	138	572
195	139	571
196	139	569
197	140	568
198	141	567
199	141	566
200	142	565
201	142	564
202	143	563
203	144	562
204	144	561
205	145	560
206	145	559
207	146	558
208	147	556
209	147	555
210	148	555
211	149	554
212	149	552
213	150	551
214	150	551
215	151	550
216	152	550
217	153	550
218	154	549
219	154	549
220	155	548
221	156	547
222	156	546
223	157	545
224	158	544
225	158	543
226	159	542
227	159	541
228	160	540
229	161	539
230	161	538
231	162	537
232	163	536
233	163	535
234	164	534
235	164	533
236	165	532
237	166	532
238	167	531
239	167	531
240	168	531
241	169	530
242	170	529
243	170	528
244	171	527
245	171	526
246	172	525
247	173	524
248	173	523
249	174	522
250	174	522
251	175	521
252	176	520
253	176	519
254	177	518
255	177	517
256	178	516
257	179	515
258	179	514
259	180	514
260	181	513
261	181	512
262	182	512
263	183	511
264	184	510
265	184	509
266	185	508
267	185	507
268	186	507
269	187	506
270	187	505
271	188	504
272	189	503
273	189	502
274	190	501
275	190	500
276	191	499
277	192	498
278	192	497
279	193	497
280	194	496
281	194	495
282	195	494
283	195	493
284	196	493
285	197	492
286	198	492
287	199	492
288	199	491
289	200	490
290	201	490
291	202	489
292	202	489
293	203	488
294	204	487
295	204	486
296	205	486
297	206	485
298	206	484
299	207	483
300	207	482
301	208	482
302	209	481
303	210	481
304	210	480
305	211	479
306	212	479
307	213	479
308	214	479
309	214	478
310	215	477
311	216	476
312	216	476
313	217	475
314	218	474
315	219	474
316	219	473
317	220	472
318	221	472
319	221	471
320	222	470
321	223	469
322	223	469
323	224	468
324	225	467
325	225	467
326	226	466
327	227	466
328	228	465
329	229	465
330	229	464
331	230	463
332	231	463
333	231	462
334	232	461
335	233	461
336	234	460
337	234	459
338	235	459
339	236	458
340	237	458
341	238	458
342	238	457
343	239	457
344	240	456
345	241	455
346	241	454
347	242	454
348	243	454
349	244	454
350	245	453
351	246	453
352	246	452
353	247	451
354	248	450
355	248	450
356	249	449
357	250	448
358	251	448
359	251	447
360	252	447
361	253	446
362	254	445
363	254	445
364	255	444
365	256	443
366	256	442
367	257	442
368	258	442
369	259	441
370	260	441
371	261	441
372	262	440
373	262	439
374	263	439
375	264	438
376	265	437
377	265	437
378	266	436
379	267	435
380	267	435
381	268	434
382	269	433
383	269	432
384	270	432
385	271	431
386	271	430
387	272	430
388	273	429
389	274	429
390	275	428
391	275	427
392	276	427
393	277	426
394	277	425
395	278	424
396	279	424
397	279	423
398	280	422
399	281	422
400	282	421
401	282	420
402	283	419
403	284	419
404	284	418
405	285	417
406	286	417
407	287	416
408	287	416
409	288	415
410	289	414
411	290	414
412	290	413
413	291	412
414	292	412
415	292	411
416	293	410
417	294	410
418	295	409
419	296	409
420	296	408
421	297	407
422	298	406
423	298	406
424	299	405
425	300	404
426	301	404
427	301	403
428	302	402
429	303	402
430	304	401
431	305	401
432	305	400
433	306	399
434	307	399
435	307	398
436	308	397
437	309	396
438	310	396
439	310	395
440	311	394
441	312	394
442	312	393
443	313	392
444	314	392
445	315	391
446	315	390
447	316	390
448	317	389
449	318	388
450	319	388
451	319	387
452	320	387
453	321	386
454	322	385
455	322	384
456	323	384
457	324	383
458	324	382
459	325	382
460	326	381
461	326	380
462	327	379
463	328	379
464	329	378
465	329	377
466	330	377
467	331	376
468	332	375
469	332	375
470	333	374
471	334	374
472	335	373
473	336	372
474	336	372
475	337	371
476	338	370
477	338	370
478	339	369
479	340	368
480	340	367
481	341	367
482	342	366
483	343	365
484	343	365
485	344	364
486	345	363
487	345	362
488	346	362
489	347	361
490	348	361
491	349	361
492	350	360
493	351	359
494	352	359
495	352	358
496	353	357
497	354	357
498	355	356
499	355	355
500	356	355
501	357	354
502	358	353
503	358	353
504	359	352
505	360	351
506	360	350
507	361	350
508	362	349
509	363	349
510	364	348
511	364	347
512	365	347
513	366	346
514	367	345
515	367	344
516	368	344
517	368	343
518	369	342
519	370	341
520	370	340
521	371	340
522	372	339
523	372	338
524	373	337
525	373	336
526	374	336
527	375	335
528	375	334
529	381	338
530	382	337
531	382	336
532	390	342
533	391	341
534	392	340
535	392	339
536	393	339
537	394	338
538	395	337
539	395	337
540	396	336
541	397	335
542	397	334
543	398	334
544	399	333
545	400	332
546	400	332
547	401	331
548	402	330
549	402	329
550	403	328
551	404	328
552	409	331
553	410	330
554	411	329
555	418	334
556	424	337
557	425	336
558	428	337
559	429	337
560	429	336
561	430	335
562	431	334
563	432	333
564	432	333
565	433	332
566	438	334
567	438	333
568	442	335
569	443	334
570	452	339
571	453	339
572	457	341
573	459	340
574	460	340
575	463	341
576	464	340
577	464	339
578	465	338
579	466	337
580	466	336
581	467	335
582	468	334
